@RELATION LinearSeparableYequalX
 
@ATTRIBUTE X  NUMERIC
@ATTRIBUTE Y   NUMERIC
@ATTRIBUTE class        {0, 1}

@DATA
0.10789,0.72691,1
0.18223,0.37385,1
0.099095,0.58158,1
0.09909,0.28482,1
0.044166,0.59497,1
0.5573,0.96216,1
0.17898,0.34164,1
0.33896,0.9329,1
0.21015,0.39067,1
0.10153,0.37472,1
0.054617,0.43504,1
0.43172,0.61463,1
0.48565,0.78973,1
0.13755,0.44802,1
0.39,0.56936,1
0.34329,0.83706,1
0.12477,0.84637,1
0.74982,0.95735,1
0.32246,0.60026,1
0.33042,0.85857,1
0.61947,0.91107,1
0.36064,0.69963,1
0.69474,0.81063,1
0.32775,0.98844,1
0.35687,0.72569,1
0.2815,0.52936,1
0.23038,0.82998,1
0.71113,0.85876,1
0.62457,0.78903,1
0.047555,0.75223,1
0.85618,0.97265,1
0.28151,0.71041,1
0.13776,0.29146,1
0.1386,0.91165,1
0.50378,0.83826,1
0.44944,0.58464,1
0.042298,0.82773,1
0.18921,0.44253,1
0.58644,0.82657,1
0.019257,0.67146,1
0.083874,0.57099,1
0.23124,0.47608,1
0.40349,0.9081,1
0.12202,0.55218,1
0.33167,0.80506,1
0.15223,0.45137,1
0.12166,0.78964,1
0.094278,0.53235,1
0.39902,0.87148,1
0.047401,0.32869,1
0.34237,0.65012,1
0.73597,0.97484,1
0.054792,0.26383,1
0.30366,0.75877,1
0.046192,0.99522,1
0.8778,0.99236,1
0.58243,0.80226,1
0.070684,0.42423,1
0.28595,0.80899,1
0.56071,0.74916,1
0.74902,0.94632,1
0.50389,0.76367,1
0.13872,0.49795,1
0.36246,0.99424,1
0.7803,0.9624,1
0.1335,0.4035,1
0.021556,0.93498,1
0.28662,0.55856,1
0.59753,0.96243,1
0.025857,0.58019,1
0.6463,0.90121,1
0.37253,0.80092,1
0.20678,0.66176,1
0.072052,0.27878,1
0.38888,0.61533,1
0.24669,0.87718,1
0.55828,0.89844,1
0.14888,0.33433,1
0.45039,0.90199,1
0.20567,0.70207,1
0.28495,0.54281,1
0.32604,0.72708,1
0.43782,0.59404,1
0.11704,0.24108,1
0.32486,0.85721,1
0.24623,0.96361,1
0.34271,0.4889,1
0.39582,0.76211,1
0.40008,0.71564,1
0.13434,0.4333,1
0.060467,0.88424,1
0.084247,0.39305,1
0.32422,0.63333,1
0.30173,0.624,1
0.011681,0.32794,1
0.53991,0.80297,1
0.095373,0.99948,1
0.14651,0.98098,1
0.51546,0.88408,1
0.33068,0.54813,1
0.071037,0.44094,1
0.81864,0.97899,1
0.19078,0.68528,1
0.25858,0.90945,1
0.59336,0.89998,1
0.61281,0.75442,1
0.45389,0.819,1
0.42791,0.62492,1
0.62006,0.80511,1
0.72016,0.95079,1
0.3469,0.49758,1
0.51699,0.75515,1
0.55669,0.74241,1
0.1565,0.83113,1
0.42646,0.6181,1
0.73139,0.83509,1
0.36003,0.89542,1
0.45421,0.58252,1
0.38639,0.58275,1
0.43028,0.88542,1
0.38993,0.60596,1
0.05034,0.40179,1
0.22869,0.40637,1
0.015645,0.6098,1
0.078069,0.18809,1
0.21799,0.7696,1
0.12219,0.74037,1
0.59959,0.82408,1
0.055976,0.82798,1
0.056343,0.29337,1
0.1525,0.30937,1
0.019621,0.52303,1
0.61739,0.81029,1
0.097698,0.68057,1
0.10802,0.45643,1
0.14316,0.5386,1
0.55937,0.9917,1
0.0045796,0.75522,1
0.76668,0.98045,1
0.50513,0.75688,1
0.27142,0.60198,1
0.10075,0.85717,1
0.50785,0.98828,1
0.58561,0.92948,1
0.44063,0.74753,1
0.55389,0.95754,1
0.68007,0.89283,1
0.23929,0.5464,1
0.40678,0.79662,1
0.11262,0.74587,1
0.48976,0.11612,0
0.19325,0.057654,0
0.7725,0.18578,0
0.31194,0.19304,0
0.51015,0.27322,0
0.90636,0.15195,0
0.62892,0.39711,0
0.39085,0.13111,0
0.50128,0.091513,0
0.99756,0.010979,0
0.8116,0.57326,0
0.89445,0.23537,0
0.92736,0.061401,0
0.91749,0.49629,0
0.61834,0.22127,0
0.73059,0.506,0
0.64648,0.27888,0
0.39828,0.23693,0
0.83522,0.62026,0
0.55226,0.1726,0
0.97913,0.090347,0
0.54931,0.25526,0
0.4139,0.22989,0
0.97273,0.40384,0
0.8378,0.089999,0
0.73907,0.32094,0
0.95417,0.51141,0
0.66265,0.55656,0
0.59061,0.31783,0
0.66044,0.45221,0
0.34878,0.10986,0
0.45134,0.10974,0
0.71505,0.52464,0
0.73105,0.31186,0
0.36616,0.25537,0
0.80676,0.088666,0
0.35314,0.061029,0
0.96353,0.28511,0
0.97296,0.19099,0
0.66712,0.39341,0
0.36102,0.2076,0
0.62028,0.3181,0
0.81115,0.13381,0
0.9748,0.16977,0
0.65135,0.14766,0
0.26844,0.03294,0
0.25785,0.053863,0
0.88415,0.36429,0
0.93004,0.71166,0
0.79468,0.075967,0
0.68622,0.41389,0
0.89363,0.30914,0
0.72175,0.1958,0
0.92274,0.72886,0
0.80037,0.49835,0
0.54366,0.35651,0
0.98478,0.073243,0
0.71568,0.59099,0
0.43326,0.19377,0
0.26909,0.039184,0
0.30775,0.18384,0
0.93941,0.39629,0
0.9809,0.70508,0
0.88402,0.53507,0
0.54916,0.11563,0
0.72839,0.051448,0
0.57676,0.30435,0
0.93713,0.54267,0
0.82953,0.71241,0
0.84909,0.016675,0
0.59318,0.14251,0
0.87255,0.47847,0
0.9335,0.25684,0
0.66846,0.36909,0
0.65385,0.16961,0
0.40673,0.19822,0
0.66693,0.19507,0
0.93373,0.32684,0
0.75675,0.40397,0
0.41705,0.17923,0
0.98797,0.40746,0
0.88284,0.46495,0
0.59887,0.42924,0
0.89971,0.59665,0
0.89965,0.37746,0
0.67323,0.54011,0
0.66428,0.31111,0
0.40732,0.18198,0
0.27529,0.092989,0
0.71667,0.46349,0
0.28338,0.0093325,0
0.82658,0.64274,0
0.39003,0.0014191,0
0.4979,0.030385,0
0.69481,0.20847,0
0.83437,0.45497,0
0.60963,0.12727,0
0.57474,0.0086477,0
0.45642,0.35412,0
0.88441,0.43666,0
0.72086,0.43655,0
0.67478,0.049632,0
0.43851,0.0911,0
0.37569,0.22031,0
0.54655,0.22621,0
0.72235,0.16157,0
0.83187,0.57774,0
0.63114,0.12704,0
0.85932,0.23224,0
0.97422,0.023632,0
0.99685,0.11081,0
0.55354,0.40746,0
0.49181,0.20835,0
0.39453,0.04339,0
0.88624,0.28327,0
0.93111,0.13378,0
0.89787,0.61087,0
0.50384,0.19343,0
0.81942,0.34626,0
0.53189,0.41863,0
0.96605,0.73856,0
0.69539,0.067223,0
